nome,fórmula,cor,classificação,dureza,brilho,fratura,hábito,densidade,magnetismo,diafaneidade,sistema cristalino,clivagem
Plagioclásio,"(Na,Ca)(Si,Al)4O8",Vermelho; Azul; Verde,Tectossilicato,6.0-6.5,Nacarado; Vítreo,Conchoidal; Irregular,Agregados Divegentes; Agregados Lamelares; Agregados Maciços,2.6-2.76,Não,Transparente; Translúcido,Triclínico,Perfeita; Muito Boa; Imperfeita
Biotita,"K(Mg,Fe)3(AlSi3O10)(OH)2",Verde Escuro; Marrom; Preto,Filossilicato,2.5-3.5,Nacarado,Irregular,Agregados Escamosos,2.7-3.3,Não,Opaco; Transparente; Translúcido,Monoclínico,Perfeita
Illita,,Branco,Filossilicato,1.0-1.5,Fosco; Terroso,Irregular,Agregados Finos de Cristais Foliares,2.6-2.9,Não,Fosco; terroso,Monoclínico,Perfeita
Microclínio,,Vermelho; Azul; Verde,Tectossilicato,6.0-6.5,Perláceo; Vítreo,Irregular,Agregados Granulares A Maciços,2.54-2.63,Não,Transparente; Translúcido,Triclínico,Perfeita
Diopsídio,CaMgSi2O6,Branco; Verde claro,Inossilicato,5.5-6.5,Fosco; Vítreo,Conchoidal; Irregular,Colunar; Lamelar; Maciço,3.22-3.38,Não,Opaco; Transparente; Translucido,Monoclínico,Boa
Talco,Mg3Si4O10(OH)2,Branco; Verde,Filossilicato,1,Fosco; Perláceo; Gorduroso,Irregular,Compacto; Fibroso; Maciço,2.58-2.83,Não,Translúcido,Monoclínico,Perfeita
Barita,BaSO4,Vermelho; Azul; Verde; Branco,Sulfato,3.0-3.5,Nacarado; Resinoso; Vítreo,Irregular,Cristais Bem Desenvolvidos; Tabulares Finos,4.5,Não,Transparente; Translúcido,Ortorrômbico,Perfeita
Apatita,"Ca5(PO4)3*(F,Cl,OH)",Azul; Verde; Branco,Fosfato,5,Subresinoso; Vítreo,Conchoidal; Irregular,Cristais Prismático,3.15,Não,Transparente; Translúcido,Hexagonal,Fraca
Estaurolita,,Azul; Marrom; Vermelho escuro,Nessossilicato,7.0-7.5,Resinoso; Vítreo,Subconchoidal,Cristais Prismáticos,3.60-3.83,Não,Transparente; Translúcido,Monoclínico,Imperfeita
Diamante,C,Laranja; Vermelho; Azul Claro,Elemento nativo,10,Adamantino; Gorduroso,Conchoidal,Cristais; Faces e Arestas Curvadas,3.51-3.52,Não,Transparente,Isométrico,Cúbica
